PICKUP_LOCATION_ID,DROPOFF_LOCATION_ID,PAYMENT_TYPE_ID,PICKUP_DATE,PICKUP_HOUR,DROPOFF_DATE,DROPOFF_HOUR,PICKUP_BOROUGH,PICKUP_ZONE,DROPOFF_BOROUGH,DROPOFF_ZONE,PAYMENT_TYPE_NAME,PASSENGER_COUNT,TRIP_DISTANCE,DURATION_MINUTES,FARE_AMOUNT,TIP_AMOUNT,TOLLS_AMOUNT,TOTAL_AMOUNT
230,138,1,2024-04-26,13,2024-04-26,14,Manhattan,Times Sq/Theatre District,Queens,LaGuardia Airport,Credit card,1,10.1,29,41.5,11.49,6.94,68.93
264,264,1,2024-04-26,13,2024-04-26,13,Unknown,N/A,Unknown,N/A,Credit card,1,1.27,16,14.9,3.78,0,22.68
68,162,1,2024-04-26,13,2024-04-26,14,Manhattan,East Chelsea,Manhattan,Midtown East,Credit card,1,2.18,31,26.1,6.02,0,36.12
239,239,1,2024-04-26,13,2024-04-26,13,Manhattan,Upper West Side South,Manhattan,Upper West Side South,Credit card,1,0.3,2,3.7,2,0,9.7
142,50,1,2024-04-26,13,2024-04-26,14,Manhattan,Lincoln Square East,Manhattan,Clinton West,Credit card,1,1.1,11,9.3,2.65,0,15.95
13,100,2,2024-04-26,13,2024-04-26,13,Manhattan,Battery Park City,Manhattan,Garment District,Cash,5,5.71,37,35.9,0,0,39.9
162,138,1,2024-04-26,13,2024-04-26,14,Manhattan,Midtown East,Queens,LaGuardia Airport,Credit card,1,9.6,30,40.8,11.35,6.94,68.09
138,163,1,2024-04-26,13,2024-04-26,14,Queens,LaGuardia Airport,Manhattan,Midtown North,Credit card,1,10.36,43,49.2,10,6.94,76.89
151,75,2,2024-04-26,13,2024-04-26,13,Manhattan,Manhattan Valley,Manhattan,East Harlem South,Cash,1,1.1,5,7.9,0,0,9.4
43,164,1,2024-04-26,13,2024-04-26,13,Manhattan,Central Park,Manhattan,Midtown South,Credit card,2,1.76,13,13.5,4.38,0,21.88
163,231,1,2024-04-26,13,2024-04-26,14,Manhattan,Midtown North,Manhattan,TriBeCa/Civic Center,Credit card,2,4.44,27,27.5,5,0,36.5
125,249,1,2024-04-26,13,2024-04-26,13,Manhattan,Hudson Sq,Manhattan,West Village,Credit card,1,0.7,6,7.2,2.25,0,13.45
90,100,1,2024-04-26,13,2024-04-26,13,Manhattan,Flatiron,Manhattan,Garment District,Credit card,1,1,10,10.7,2.95,0,17.65
142,142,2,2024-04-26,13,2024-04-26,13,Manhattan,Lincoln Square East,Manhattan,Lincoln Square East,Cash,1,0.38,4,5.8,0,0,12.3
43,229,1,2024-04-26,13,2024-04-26,13,Manhattan,Central Park,Manhattan,Sutton Place/Turtle Bay North,Credit card,1,0.85,12,12.1,4.03,0,20.13
233,186,1,2024-04-26,13,2024-04-26,14,Manhattan,UN/Turtle Bay South,Manhattan,Penn Station/Madison Sq West,Credit card,1,1.5,23,19.8,5.26,0,31.56
249,148,1,2024-04-26,13,2024-04-26,13,Manhattan,West Village,Manhattan,Lower East Side,Credit card,0,1.3,11,11.4,2,0,17.4
113,163,1,2024-04-26,13,2024-04-26,14,Manhattan,Greenwich Village North,Manhattan,Midtown North,Credit card,0,2.5,20,19.1,5.75,0,28.85
142,237,1,2024-04-26,13,2024-04-26,14,Manhattan,Lincoln Square East,Manhattan,Upper East Side South,Credit card,0,1.2,7,8.6,2.5,0,15.1
230,1,1,2024-04-26,13,2024-04-26,14,Manhattan,Times Sq/Theatre District,EWR,Newark Airport,Credit card,1,16.95,35,117.1,26.3,13.38,157.78
